nbCouche,nbNeurone,tailleImage,iter,test_acc,test_loss
1,100,250,0,0.2631579041481018,1.9430447816848755
1,100,250,1,0.2631579041481018,1.977890968322754
1,100,250,2,0.42105263471603394,2.0876455307006836
1,250,250,0,0.9473684430122375,0.5392611622810364
1,250,250,1,0.8421052694320679,0.5014353394508362
1,250,250,2,0.6842105388641357,0.9396508932113647
1,500,250,0,0.8947368264198303,0.3014709949493408
1,500,250,1,1.0,0.061163198202848434
1,500,250,2,0.8947368264198303,0.25597772002220154
1,1000,250,0,0.9473684430122375,0.16865399479866028
1,1000,250,1,0.9473684430122375,0.13346733152866364
1,1000,250,2,1.0,0.16522614657878876
2,100,250,0,0.7894737124443054,0.44109228253364563
2,100,250,1,1.0,0.24570992588996887
2,100,250,2,1.0,0.08228000998497009
2,250,250,0,1.0,0.1051526889204979
2,250,250,1,0.8421052694320679,0.321455717086792
2,250,250,2,1.0,0.12944746017456055
2,500,250,0,0.8947368264198303,0.18978869915008545
2,500,250,1,0.9473684430122375,0.08423800766468048
2,500,250,2,1.0,0.08875086903572083
2,1000,250,0,1.0,0.07961581647396088
2,1000,250,1,1.0,0.029961153864860535
2,1000,250,2,1.0,0.04473905265331268
1,100,100,0,0.8421052694320679,0.6399579048156738
1,100,100,1,0.8947368264198303,0.5823178291320801
1,100,100,2,0.7368420958518982,0.7060681581497192
1,250,100,0,0.9473684430122375,0.29404792189598083
1,250,100,1,0.9473684430122375,0.27559128403663635
1,250,100,2,1.0,0.2793578505516052
1,500,100,0,1.0,0.15449638664722443
1,500,100,1,1.0,0.21347030997276306
1,500,100,2,1.0,0.14527735114097595
1,1000,100,0,1.0,0.19844655692577362
1,1000,100,1,1.0,0.16074000298976898
1,1000,100,2,0.9473684430122375,0.20314985513687134
2,100,100,0,1.0,0.24223767220973969
2,100,100,1,0.8947368264198303,0.3361724019050598
2,100,100,2,1.0,0.27016568183898926
2,250,100,0,1.0,0.1329006850719452
2,250,100,1,1.0,0.10757333040237427
2,250,100,2,0.8947368264198303,0.24800145626068115
2,500,100,0,0.9473684430122375,0.20846439898014069
2,500,100,1,1.0,0.15461117029190063
2,500,100,2,1.0,0.13344529271125793
2,1000,100,0,1.0,0.07155785709619522
2,1000,100,1,1.0,0.0819280743598938
2,1000,100,2,1.0,0.06115815415978432
1,100,500,0,0.15789473056793213,2.389399528503418
1,100,500,1,0.10526315867900848,2.703828811645508
1,100,500,2,0.42105263471603394,2.1873619556427
1,250,500,0,0.9473684430122375,1.5645102262496948
1,250,500,1,0.8947368264198303,0.9608943462371826
1,250,500,2,0.8947368264198303,0.3420926034450531
1,500,500,0,0.8947368264198303,0.5633392930030823
1,500,500,1,1.0,0.009791954420506954
1,500,500,2,0.7894737124443054,0.6120986938476562
1,1000,500,0,0.9473684430122375,0.06808166950941086
1,1000,500,1,1.0,0.026287877932190895
1,1000,500,2,0.9473684430122375,0.18275584280490875
2,100,500,0,0.2631579041481018,2.088898181915283
2,100,500,1,0.8947368264198303,0.8207293152809143
2,100,500,2,0.6842105388641357,0.6024371981620789
2,250,500,0,0.9473684430122375,0.21335946023464203
2,250,500,1,0.8421052694320679,0.42617642879486084
2,250,500,2,0.8421052694320679,0.767187774181366
2,500,500,0,0.9473684430122375,0.1491282433271408
2,500,500,1,0.8947368264198303,0.2873519957065582
2,500,500,2,1.0,0.03001433238387108
2,1000,500,0,0.9473684430122375,0.21225444972515106
2,1000,500,1,0.8947368264198303,0.29219964146614075
2,1000,500,2,0.9473684430122375,0.23431400954723358
1,100,50,0,0.9473684430122375,0.6383024454116821
1,100,50,1,0.9473684430122375,0.4716567099094391
1,100,50,2,1.0,0.32088300585746765
1,250,50,0,1.0,0.3341630697250366
1,250,50,1,1.0,0.24382609128952026
1,250,50,2,1.0,0.22958147525787354
1,500,50,0,1.0,0.2493320256471634
1,500,50,1,1.0,0.17296937108039856
1,500,50,2,0.9473684430122375,0.283629834651947
1,1000,50,0,0.8947368264198303,0.2696084976196289
1,1000,50,1,1.0,0.19028344750404358
1,1000,50,2,1.0,0.1694975346326828
2,100,50,0,0.8947368264198303,0.45594120025634766
2,100,50,1,1.0,0.377447247505188
2,100,50,2,0.9473684430122375,0.38510045409202576
2,250,50,0,1.0,0.1353694051504135
2,250,50,1,1.0,0.11886495351791382
2,250,50,2,1.0,0.1377590000629425
2,500,50,0,1.0,0.10450483858585358
2,500,50,1,0.9473684430122375,0.22604836523532867
2,500,50,2,1.0,0.10325131565332413
2,1000,50,0,1.0,0.06931181252002716
2,1000,50,1,1.0,0.04361104965209961
2,1000,50,2,1.0,0.08247579634189606
